variable,ADF_stat,p_value,lags_used,I(1)_candidate
absinc,-2.0559,0.2626,48,True
temp,-4.3542,0.0004,48,False
hum,-10.0636,0.0,48,False
oikolab_temperature (degC),-4.9837,0.0,48,False
oikolab_dewpoint_temperature (degC),-7.0473,0.0,48,False
oikolab_relative_humidity (0-1),-12.1835,0.0,48,False
oikolab_wetbulb_temperature (degC),-5.7344,0.0,48,False
oikolab_skin_temperature (degC),-4.2051,0.0006,48,False
oikolab_urban_temperature (degC),-4.6419,0.0001,48,False
oikolab_wind_speed (m/s),-17.3071,0.0,48,False
oikolab_wind_direction (deg),-17.6327,0.0,21,False
oikolab_total_cloud_cover (0-1),-17.2831,0.0,21,False
oikolab_total_precipitation (mm of water equivalent),-23.4128,0.0,26,False
oikolab_surface_solar_radiation (W/m^2),-6.9906,0.0,48,False
oikolab_surface_thermal_radiation (W/m^2),-8.4873,0.0,48,False
